Sr No .,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Target,,
38,"What, what, what? !",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",怎么了，怎么了，怎么了？！,,
39,What? !,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",怎么了？！,,
40,He was with her when he wrote this poem .,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",他在跟她亲热时写这首诗。,,
41,"Look, my vessel so empty with nothing inside .",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499",我的花瓶如此美丽，内里空无一物。,,
42,"Now that I've touched you, you seem emptier still .",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",如今我伸手触摸，你看似更加空洞。,,
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",他觉得莫妮卡很空洞，她是个空花瓶！,,
45,"Oh, totally . Oh, God, oh, she seemed so happy too .",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",老天，她看起来好幸福。,,
46,Done .,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",看完了。,,
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891",嗨！,,
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028",嗨！,,
49,What are you doing here? ,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265",你怎么来了？,,
50,"Ah you know, this building is on my paper route so I ... ",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185",我顺路到这里来……,,
51,Oh .,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771",哦。,,
52,Hi .,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873",嗨。,,
53,Hi .,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",嗨。,,
54,How'd did it go? ,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",面试怎么样？,,
55,"Oh well, the woman I interviewed with was pretty tough, but you know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up .",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",面试我的女人很难对付，但幸好有马克指点我，我一谈起秋季新装，她就满意得不得了，张口滔滔不绝了。,,
56,I'm so proud of you .,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",我真为你骄傲。,,
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",我也是！,,
58,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so ... ",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",听我说，我这么神经又嫉妒，这是因为我很喜欢你，所以……,,
59,I know .,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794",我知道。,,
60,Yeah .,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380",对。,,
61,Yeah .,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",对。,,
62,Ameri-can .,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297",美国。,,
63,Ameri-ccan .,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",美国。,,
64,Ameri-can . you know it's a very hard language .,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507",美国。这种语言很难学,,
65,Everybody!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679",所有人！！,,
66,Good job Joe!Well done!Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",演得好，乔伊！太棒了！超一流！,,
67,You liked it? You really liked it? ,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",你喜欢它吗？你真的喜欢吗？,,
68,"Oh, ho, ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",当然喜欢！,,
69,Which part exactly? ,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",你具体喜欢哪个部份？,,
70,The whole thing!Can we go? ,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",整部电影！我们走吧。,,
71,"Oh no, no, no, give me some specifics .",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",不不不，说具体一点。,,
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",我就喜欢具体细节，细节处理得最棒了！,,
73,"Hey, what about the scene with the kangaroo? did you like that part? ",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",有袋鼠出场的那场戏呢？你喜欢吗？,,
74,I was surprised to see a kangaroo in a World War I epic .,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",我吓了一大跳当看到一战的电影里出现袋鼠。,,
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",你睡着了！！,,
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",电影里面根本没有袋鼠！,,
77,They didn't take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",我的建议他们一条都没采纳！,,
78,That's for coming buddy .,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",谢谢你来捧场。,,
79,I'll see you later .,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",回头见。,,
80,Don't go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",别走！,,
81,I'm sorry .,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",抱歉。,,
82,I'm so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",我很抱歉！,,
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",看！,,
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",这家伙睡着了！,,
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",他也睡着了！,,
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",生他的气啊！,,
87,"Or, call an ambulance .",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",或是叫救护车来。,,
88,"Okay, look, I think we have to tell Rachel she messed up her dessert .",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",我们应该告诉瑞秋，她甜品做砸了。,,
89,"What? !What is with everybody? It's Thanksgiving, not ... Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",什么？！大家是都怎么了？今天是感恩节，不是告解日！,,
90,"Yes, and it is my dying wish to have that ring .",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",对，我临死前想拥有那枚戒指。,,
91,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",看，如果我不能戴着它入土我会变成冤鬼，永世不去投胎。,,
92,"Okay, that's enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",够了，亲爱的！,,
93,I don't know . Let me see the ring .,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",我不晓得。再让我看一次。,,
94,"Great!Okay, here .",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",当然！请看。,,
95,All right .,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",好吧。,,
96,Thank you . Thank you . Thank you!,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",谢谢。谢谢。谢谢！,,
97,What've you been up to? ,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",你最近都在忙什么？,,
98,"Oh, you know, the usual, teaching aerobics, partying way too much .",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",还是老样子，教健美操，整天参加派对。,,
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster .",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",我还要告诉你，新007电影海报上那双腿是我的。,,
100,Can you hold on a moment? I have another call . I love her .,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",你等我一下。有另一通电话打进来。我爱她。,,
101,I know .,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",我知道。,,
102,I'm back .,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",我回来了。,,
103,"So, are we gonna get together or what? ",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",那我们到底要不要聚一聚？,,
104,"Um, absolutely . Uh, how about tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? ",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",当然要。明天下午怎么样？知道格林威治村的中央公园咖啡馆吗？五点左右？,,
105,"Great, I'll see you then .",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",太棒了，到时见。,,
106,Ok . Ok . Having a phone has finally paid off .,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",好的。不错。这电话装的值了。,,
107,"Even though you do do a good Bob impression, I'm thinking when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob .""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",就算你装鲍勃装得很像，等她明天一看到你，就会发现你不是鲍勃本人了。,,
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table .",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",我只希望当她知道鲍勃放她鸽子的时候，她会投向邻桌陌生人的怀抱。,,
109,Oh my god . You are pure evil .,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",老天。你真是坏到骨子里去了。,,
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",坏到骨子里，欲求不满。我试过后者。,,
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",没有人！,,
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",没有人尊重我的募捐桶！,,
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",这些烂人什么都往里扔！,,
114,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",看！,,
115,"Okay, does this look like a garbage can to you? ",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",好吧，你觉得这个看起来像是垃圾桶吗？,,
116,No .,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",不。,,
117,This is my wedding .,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",这可是我的婚礼啊。,,
118,"All right, you know what? We really are late!Let's go!Let's go!Let's go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",说真的，真的迟到了！快走！快走！快走！！,,
119,Fine . you'll watch it on video when we get back .,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",好吧。回来再让你看录影带。,,
120,Here you go Phoebe!Here you go Phobo!Phewbedo!Phaybobo .,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",菲比！你的书书！苏苏！,,
121,Thank you .,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",谢谢。,,
122,Thank you .,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",谢谢。,,
123,"All right, let's go!Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",好了，走吧！菲比，再见！,,
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",菲比，再见！,,
125,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",伦敦宝贝！！,,
126,"Oh, do you need a hug? You don't have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",你要抱抱吗？你不必帮我拿东西！,,
127,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",嗨！,,
128,Hey!So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time .,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",嗨！明天艾丝特尔帮我排了一堆试镜，我很快就能重新加入医保。,,
129,"That's great, but shouldn't you be on the toilet right now? ",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",太好了，但你现在不应该去蹲马桶吗？,,
130,What? !,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",什么意思？！,,
131,What's wrong with you? ,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",你是怎么了？,,
132,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",没什么啊！,,
133,"Well, I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since .",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",我刚才举哑铃时，肚子突然一阵剧痛，然后就昏倒了，然后就一直站不起来了。,,
134,"But um, I don't think it's anything serious .",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",不过应该不怎么严重。,,
135,This sounds like a hernia . You have to you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",听起来像是疝气。你得去看医生！,,
136,"No way!Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",不行！听着，就算怎么了要去看医生，也是因为肚子这里突出来了！,,
137,That's a hernia .,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",那就是疝气。,,
138,Why did I have to start working out again? Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",我为什么要恢复健身啊？去你的十五磅哑铃！,,
139,I love your place!Where is this guy from? ,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",我喜欢你家！这玩意从哪里来的？,,
140,Uh that's an eighteenth century Indian artifact from Calcutta .,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899",那是在加尔各答买的18世纪印度工艺品。,,
141,"Oh wow!So, you're more than just dinosaurs .",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",原来你不只喜欢研究恐龙。,,
142,So much more .,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",我涉猎很广的。,,
143,"Well, well to sum up, we're having fun, you look young .",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",总而言之，们相处得很开心，你看起来很年轻。,,
144,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",好吧。,,
145,But that's not enough . So So here's a key to my apartment .,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",但这还远远不够。所以，这是我家的钥匙。,,
146,Really? !,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",真的吗？！,,
147,Really .,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",真的。,,
148,You don't think this is too fast .,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",你不觉得发展得太快了吗？,,
149,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",少来了！,,
150,"Ross, can I talk to you for a minute? ",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",罗斯，我可以跟你谈谈吗？,,
151,"Yes, please!So, what's going on? ",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",当然了！发生什么事呢？,,
152,"Uh, well ... Joey and I broke up .",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",嗯……乔伊跟我分手了。,,
153,"Oh my God, what happened? ",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885",我的天啊，发生了什么事？,,
154,"Joey is a great guy, but we're just ... so different!I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561","乔伊是个好男人，但是我们就是……我们很不一样了！就像是在你演讲的时候他一直在笑""直立人""！",,
155,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",我就知道是他！,,
156,"Anyway I just, uh, I think it's for the best .",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",反正，我只是，我想这样是最好的。,,
157,"Hey, you ok? ",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",嘿，你还好吗？,,
158,I guess .,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",还好。,,
159,There was hum ... there was another reason that I thought it was time to end it with Joey .,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",还有另外一个原因让我跟乔伊分手的。,,
160,I started to realize that I was having feelings for someone else .,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",我开始发觉我对另外一个人有感觉。,,
161,"Ok Geller . Last day of the conference, you know what happens to the keynote speaker .",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220",好的，盖勒。研讨会的最后一天了，你知道主讲人会被怎样的。,,
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here .",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765",克雷克教授，我们正在谈话当中。,,
163,"Yeah, can you guys just throw him in the pool later? ",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905",不能等会再丢他进游泳池吗？,,
164,Or we could throw you both in now .,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",或是把你们俩都丢进去。,,
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",先生们！,,
166,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",拜托！,,
167,Aren't we a little old for this? ,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",我们会不会太老了呢？,,
168,"I mean, we're scientists, right? ",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788",我是说我们是科学家，好吗？,,
169,We're academics .,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",我们都有学术素养。,,
170,And most importantly I ... you will have to catch us first .,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",而且最重要的……你们必须要先捉住我们。,,
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",跑，跑，跑！,,
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",快，快，快！,,
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",现在你们又觉得帽子好了吧！,,
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",哦！！,,
176,What's with all this sand? ,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001",怎么这么多沙子？,,
177,"Oh, yeah, Bob said there might be flood damage .",Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",是啊，鲍伯说可能淹过水。,,
178,"Yeah, either that, or he has a really big cat .",Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214",不然就是他的猫很大。,,
179,"Okay, see that blind guy right there? I'm gonna bash his head in later .",Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",看到那个盲人没？我等一下会痛打他一顿。,,
180,"Oh umm, my big scene is coming up . Big scene coming up .",Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",我的戏就快到了。我的戏就快到了。,,
181,"If you said, ""Big lima bean, bubbling up ."" Would she understand the difference? ",Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012","若你说""吃葡萄不吐葡萄皮。""她会不会比较懂？",,
182,Rach? What are you doing? ,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",瑞秋？你在干嘛？,,
183,"Oh boy, I just can't watch . It's too scary!",Rachel,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020",我不敢看。太恐怖了！,,
184,It's a diaper commercial .,Monica,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731",现在是纸尿裤的广告。,,
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735",你也知道我的，小孩啊，责任，吓死人！！！,,
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793",披萨外送！,,
187,I'll get it!I will get that!,Ross,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887",我来开！我来拿！,,
188,Hi!,Caitlin,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665",嗨！,,
189,Hi!,Ross,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803",嗨！,,
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh? ",Ross,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474",你要去吃点东西吗？还是要看我们能来回丢多久？,,
191,"Uhh, the ball thing .",Joey,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",继续丢球。,,
192,Yeah? ,Ross,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542",是吗？,,
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it? !",Joey,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109",罗斯，如果我们能连丢两小时球不落地，那样是不是很棒？！,,
194,"Uhh, ",Ross,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279",嗯，,,
195,Okay!,Joey,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990",好的！,,
196,Uh-oh .,Joey,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670",不好。,,
197,What? ,Ross,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222",怎么了？,,
198,I have to pee . And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166",我要尿尿。瑞秋却在厕所里！,,
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548",没想到这样也行！,,
